phase,dimension,group,rows,hours,groups,parakeet_words,parakeet_errors,parakeet_substitutions,parakeet_deletions,parakeet_insertions,parakeet_chars,parakeet_char_errors,parakeet_utterance_error,parakeet_wer,parakeet_cer,parakeet_utterance_error_rate,orukeet_words,orukeet_errors,orukeet_substitutions,orukeet_deletions,orukeet_insertions,orukeet_chars,orukeet_char_errors,orukeet_utterance_error,orukeet_wer,orukeet_cer,orukeet_utterance_error_rate
primary,region,Puducherry,4,0.011725000000000001,1,129,5,2,0,3,649,16,3,3.875968992248062,2.4653312788906008,75.0,129,5,3,0,2,649,16,3,3.875968992248062,2.4653312788906008,75.0
primary,region,Punjab,35,0.08936666666666668,20,818,44,27,7,10,4040,94,21,5.378973105134475,2.3267326732673266,60.0,818,37,22,7,8,4040,85,19,4.52322738386308,2.103960396039604,54.285714285714285
primary,region,Rajasthan,79,0.23595833333333335,49,2024,124,71,6,47,10148,282,62,6.126482213438735,2.778872684272763,78.48101265822785,2024,118,70,11,37,10148,266,59,5.830039525691699,2.621206148994876,74.68354430379746
primary,region,Tamil Nadu,83,0.23386666666666667,59,2205,155,76,21,58,10969,376,60,7.029478458049887,3.4278421004649466,72.28915662650603,2205,144,77,25,42,10969,355,61,6.530612244897959,3.236393472513447,73.49397590361446
primary,region,Telangana,229,0.6209916666666667,149,5478,330,186,40,104,28123,712,152,6.024096385542169,2.5317355900864063,66.37554585152839,5478,317,182,56,79,28123,712,149,5.786783497626871,2.5317355900864063,65.06550218340611
primary,region,Tripura,4,0.011266666666666668,2,109,7,6,1,0,541,13,4,6.422018348623853,2.402957486136784,100.0,109,4,4,0,0,541,7,3,3.669724770642202,1.2939001848428835,75.0
primary,region,Uttar Pradesh,244,0.6680083333333333,168,5754,356,164,54,138,29068,904,170,6.18700034758429,3.109949084904362,69.67213114754098,5754,295,156,47,92,29068,718,155,5.126868265554397,2.4700701802669602,63.52459016393443
primary,region,Uttarakhand,20,0.03885,15,351,22,13,0,9,1821,45,9,6.267806267806268,2.471169686985173,45.0,351,21,12,1,8,1821,45,9,5.982905982905983,2.471169686985173,45.0
primary,region,West Bengal,166,0.4648583333333333,108,3998,241,140,21,80,20436,505,113,6.0280140070035015,2.4711293795263263,68.07228915662651,3998,208,129,31,48,20436,444,103,5.2026013006503256,2.172636523781562,62.04819277108434
primary,accent,Indian English,2102,5.6243333333333325,1444,49454,3048,1673,340,1035,251135,7038,1412,6.163303271727262,2.802476755529894,67.17411988582303,49454,2799,1599,471,729,251135,6516,1343,5.659805071379464,2.5946204232783163,63.89153187440533
primary,duration_seconds,under_5,58720,38.56127036458333,1245,433783,87574,48658,23635,15281,2075116,264120,32865,20.188435231440604,12.727963159649871,55.96900544959128,433783,89888,48892,27543,13453,2075116,273490,33172,20.721881678166273,13.17950418193489,56.49182561307902
primary,duration_seconds,5_to_15,117046,327.35277572916664,2255,2903736,578135,353313,102029,122793,16433303,2073146,92179,19.910040031187407,12.615516186855436,78.75450677511405,2903736,560783,338035,108138,114610,16433303,2039118,92287,19.312465045031644,12.40844886752225,78.84677818977154
primary,duration_seconds,15_to_30,48290,234.4047187326389,121,1727923,583357,373792,87785,121780,10927527,2293558,46318,33.76059002629168,20.988811100626886,95.91633878649824,1727923,546765,345786,81849,119130,10927527,2194876,46046,31.642903069176114,20.08575224751218,95.35307517084283
primary,duration_seconds,30_and_over,0,,,,,,,,,,,,,,,,,,,,,,,,
coverage,lang,cs,1103,3.0604864409722223,,23909,2205,1261,607,337,156643,7385,727,9.222468526496298,4.714541984001839,65.91115140525838,23909,2145,1219,599,327,156643,7165,719,8.971517001965786,4.574095235663259,65.18585675430644
coverage,lang,da,54747,77.12340222222223,56,533543,162955,91739,63542,7674,2871005,479572,43601,30.542055654370877,16.703976482102956,79.6408935649442,533543,158956,89309,61332,8315,2871005,480579,43351,29.792537808574004,16.7390513078173,79.18424753867792
coverage,lang,es,1631,5.127244548611111,,48139,2648,1156,958,534,291334,10463,829,5.500737447807391,3.5914105459712906,50.827713059472714,48139,2624,1171,923,530,291334,10312,826,5.450881821392218,3.539580000961096,50.64377682403433
coverage,lang,hu,1076,3.249815329861111,,23343,3670,2576,688,406,171009,9664,936,15.722058004540976,5.651164558590484,86.98884758364312,23343,3578,2518,657,403,171009,9491,926,15.327935569549759,5.550000292382272,86.05947955390334
coverage,lang,nl,1230,2.7248325868055554,47,26367,2967,1485,927,555,162256,10249,895,11.252702241438161,6.316561483088453,72.76422764227642,26367,2931,1458,926,547,162256,10191,884,11.11616793719422,6.2808155014298395,71.869918699187
coverage,lang,pl,1691,4.950488454861111,,34744,2619,1325,695,599,254721,10689,884,7.5379921713101545,4.196356013049572,52.27675931401537,34744,2543,1304,664,575,254721,10154,875,7.319249366797145,3.9863222898779447,51.744529863985804
coverage,lang,ro,1418,4.4733996354166665,,40378,4944,3522,989,433,256901,12516,1152,12.244291445836842,4.87191564065535,81.24118476727786,40378,4777,3366,1006,405,256901,12388,1127,11.830699886076577,4.822091000035033,79.47813822284908
coverage,lang,ru,11811,12.521821163194444,,58776,2333,1908,162,263,383895,3694,1751,3.969307200217776,0.9622422797900467,14.8251629836593,58776,2356,1926,168,262,383895,3671,1757,4.008438818565401,0.9562510582320687,14.875963085259503
coverage,lang,sv,27638,37.90326388888889,,214871,49831,35799,10158,3874,1300129,178194,20055,23.19112397671161,13.705870725135737,72.56313770895144,214871,48740,33481,11832,3427,1300129,180760,18698,22.68337746834147,13.903235755836537,67.65323105868731
coverage,source,golos_crowd,9896,11.113865329861111,,50394,1725,1396,125,204,329900,2529,1304,3.4230265507798547,0.7665959381630797,13.177041228779304,50394,1755,1418,127,210,329900,2560,1317,3.4825574473151564,0.7759927250682025,13.308407437348423
coverage,source,golos_farfield,1915,1.4079558333333333,,8382,608,512,37,59,53995,1165,447,7.253638749701742,2.1576071858505417,23.342036553524803,8382,601,508,41,52,53995,1111,440,7.170126461465044,2.057597925733864,22.97650130548303
coverage,source,nst_da,54747,77.12340222222223,56,533543,162955,91739,63542,7674,2871005,479572,43601,30.542055654370877,16.703976482102956,79.6408935649442,533543,158956,89309,61332,8315,2871005,480579,43351,29.792537808574004,16.7390513078173,79.18424753867792
coverage,source,nst_sv,27638,37.90326388888889,,214871,49831,35799,10158,3874,1300129,178194,20055,23.19112397671161,13.705870725135737,72.56313770895144,214871,48740,33481,11832,3427,1300129,180760,18698,22.68337746834147,13.903235755836537,67.65323105868731
coverage,source,voxpopuli,8149,23.58626699652778,,196880,19053,11325,4864,2864,1292864,60966,5423,9.677468508736286,4.715577199148557,66.54804270462634,196880,18598,11036,4775,2787,1292864,59701,5357,9.44636326696465,4.617732414236919,65.73812737759235
coverage,gender,female,29204,44.7849340625,,317913,86788,47100,35416,4272,1768871,256534,22805,27.299292573754453,14.502696917977625,78.08861799753458,317913,83166,45555,33076,4535,1768871,254131,22629,26.159987166300215,14.366847554174386,77.48596082728393
coverage,gender,male,33692,55.92473515625,,412510,95220,55964,32990,6266,2394998,284004,26219,23.08307677389639,11.85821449537745,77.81966045352013,412510,94388,54790,33031,6567,2394998,286149,26079,22.881384693704394,11.947776156806812,77.40413154458031
