phase,split,label,scoring,rows,hours,groups,wer_delta_pp,relative_wer_reduction_pct,delta_ci_low,delta_ci_high,parakeet_words,parakeet_errors,parakeet_substitutions,parakeet_deletions,parakeet_insertions,parakeet_chars,parakeet_char_errors,parakeet_utterance_error,parakeet_wer,parakeet_cer,parakeet_utterance_error_rate,orukeet_words,orukeet_errors,orukeet_substitutions,orukeet_deletions,orukeet_insertions,orukeet_chars,orukeet_char_errors,orukeet_utterance_error,orukeet_wer,orukeet_cer,orukeet_utterance_error_rate
primary,gigaspeechbench_phl_en,GigaSpeechBench · Filipino accent,standard_english,8637,10.754581875,37,0.04650321647247324,-0.3872633390705727,-0.08293701814089567,0.1831010611419062,116121,13944,7022,3695,3227,568773,42235,5115,12.008163898002945,7.425633776568156,59.22195206668982,116121,13998,6965,4160,2873,568773,42602,5117,12.054667114475418,7.4901586397385245,59.2451082551812
primary,gigaspeechbench_sct_en,GigaSpeechBench · Scottish accent,standard_english,12829,11.231581006944444,30,0.4901097817743931,-1.8745959922430455,0.16291910932680737,0.8480305586398192,142009,37128,21110,8894,7124,668470,114006,9410,26.144821807068567,17.05476685565545,73.34944266895316,142009,37824,21314,10280,6230,668470,116820,9442,26.63493158884296,17.475728155339805,73.5988775430665
primary,gigaspeechbench_sgp_en,GigaSpeechBench · Singaporean accent,standard_english,9480,10.753926284722223,45,0.37006610516940874,-2.703915628856725,0.14441385844894855,0.5836377762062392,130247,17826,9048,5484,3294,637952,53540,5990,13.68630371524872,8.392480939004816,63.18565400843882,130247,18308,9205,6180,2923,637952,55042,6084,14.056369820418128,8.627921849919742,64.17721518987342
primary,monsoon_en_in,Monsoon · Indian English,standard_english,2102,5.6243333333333325,1444,-0.1706692673412169,3.4160227734851616,-0.3348040005060818,-0.033144925549956544,49218,2459,1167,681,611,251051,6264,1271,4.996139623714901,2.4951105552258306,60.466222645099904,49218,2375,1173,688,514,251051,6084,1252,4.8254703563736845,2.4234119760526744,59.56232159847764
primary,eurospeech_bg,EuroSpeech · Bulgarian,strict_legacy,6887,28.747452552083335,5,-0.3532653839012614,2.3442819623228806,-0.9552762090734603,0.12049139534274644,204662,30841,18823,4589,7429,1261265,90913,6360,15.069236106360732,7.208080776046271,92.34790184405402,204662,30118,18568,4382,7168,1261265,93806,6276,14.71597072245947,7.4374536675480565,91.12821257441557
primary,eurospeech_de,EuroSpeech · German,strict_legacy,4867,20.30422810763889,2,-1.9490235450335192,12.385774265250673,-3.932945191728569,-1.0040640688501075,154385,24294,10708,4835,8751,1043796,109464,4248,15.735984713540823,10.487106676017152,87.28169303472365,154385,21285,8598,4145,8542,1043796,99049,4219,13.786961168507304,9.48930633955294,86.68584343538114
primary,eurospeech_el,EuroSpeech · Greek,strict_legacy,6722,27.976143333333333,2,-0.741813523757628,0.7322067162982028,-0.9237594294592242,-0.5519141163024557,209217,211962,165371,25388,21203,1367805,1067177,6722,101.31203487288317,78.02113605375035,100.0,209217,210410,160705,26857,22848,1367805,1081374,6722,100.57022134912555,79.0590764034347,100.0
primary,eurospeech_en,EuroSpeech · English,strict_legacy,9210,38.47945894097222,12,-2.1882124943000463,7.5337290879654635,-2.4669625995995537,-1.8993034535964797,350880,101915,38401,12111,51403,2007641,397868,9047,29.045542635658915,19.81768652861742,98.23018458197612,350880,94237,36970,12507,44760,2007641,371309,9018,26.85733014135887,18.49479065231284,97.91530944625407
primary,eurospeech_et,EuroSpeech · Estonian,strict_legacy,3554,14.842340243055554,2,-8.507081144632245,21.99325172192633,-9.052559341191667,-7.8810202237820555,92711,35861,23536,4976,7349,649741,97689,3536,38.68041548467819,15.035067819331088,99.49352841868317,92711,27974,16913,3746,7315,649741,75450,3509,30.173334340045947,11.612319370333717,98.73382104670793
primary,eurospeech_fi,EuroSpeech · Finnish,strict_legacy,5408,22.516041666666666,6,-1.4375285595499392,8.17988064791134,-1.6635144051022657,-1.192366263811035,133493,23460,13373,4363,5724,1088232,78258,4852,17.57395518866158,7.191297443927398,89.7189349112426,133493,21541,11838,4249,5454,1088232,73519,4733,16.13642662911164,6.755820450051092,87.51849112426035
